"Path","Name","Scripts","Dependencies","DevDependencies","Framework"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\kareem\package.json","kareem","lint,test,test-coverage,docs","","acquit,acquit-ignore,eslint,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\leac\package.json","leac","build:docs,build:deno,build:rollup,build:types,build,checkAll,clean,example:calc,example:json,lint:eslint,lint:md,lint,prepublishOnly,test,ts","","@rollup/plugin-typescript,@tsconfig/node14,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,ava,concurrently,denoify,eslint,eslint-plugin-jsonc,eslint-plugin-tsdoc,markdownlint-cli2,rimraf,rollup,rollup-plugin-terser,ts-node,tslib,typedoc,typedoc-plugin-markdown,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\math-intrinsics\package.json","math-intrinsics","prepack,prepublishOnly,prepublish,pretest,test,tests-only,posttest,prelint,lint,postlint,version,postversion","","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/for-each,@types/object-inspect,@types/tape,auto-changelog,eclint,es-value-fixtures,eslint,evalmd,for-each,in-publish,npmignore,nyc,object-inspect,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\media-typer\package.json","media-typer","test,test-cov,test-travis","","istanbul,mocha,should",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\memory-pager\package.json","memory-pager","test","","standard,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\merge-descriptors\package.json","merge-descriptors","lint,test,test-cov","","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\methods\package.json","methods","test,test-cov,test-travis","","istanbul,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mime\package.json","mime","prepare,changelog,test","","github-release-notes,mime-db,mime-score",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mime-db\package.json","mime-db","build,fetch,lint,test,test-ci,test-cov,update,version","","bluebird,co,cogent,csv-parse,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,gnode,media-typer,mocha,nyc,raw-body,stream-to-array",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mime-types\package.json","mime-types","lint,test,test-ci,test-cov","mime-db","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\minimatch\package.json","minimatch","test,preversion,postversion,postpublish","brace-expansion","tap",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mongodb\package.json","mongodb","build:evergreen,build:ts,build:dts,build:docs,build:typedoc,build:nightly,check:bench,check:coverage,check:integration-coverage,check:lambda,check:lambda:aws,check:lint,check:eslint,check:tsd,check:dependencies,check:dts,check:search-indexes,check:test,check:unit,check:ts,check:atlas,check:resource-management,check:drivers-atlas-testing,check:adl,check:aws,check:oidc-auth,check:oidc-test,check:oidc-azure,check:oidc-gcp,check:oidc-k8s,check:kerberos,check:tls,check:ldap,check:socks5,check:csfle,check:snappy,check:x509,fix:eslint,prepare,preview:docs,test,test:all,update:docs","@mongodb-js/saslprep,bson,mongodb-connection-string-url","@aws-sdk/credential-providers,@iarna/toml,@istanbuljs/nyc-config-typescript,@microsoft/api-extractor,@microsoft/tsdoc-config,@mongodb-js/zstd,@types/chai,@types/chai-subset,@types/express,@types/kerberos,@types/mocha,@types/node,@types/saslprep,@types/semver,@types/sinon,@types/sinon-chai,@types/whatwg-url,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,chai,chai-subset,chalk,eslint,eslint-config-prettier,eslint-plugin-mocha,eslint-plugin-prettier,eslint-plugin-simple-import-sort,eslint-plugin-tsdoc,eslint-plugin-unused-imports,express,gcp-metadata,js-yaml,mocha,mocha-sinon,mongodb-client-encryption,mongodb-legacy,nyc,prettier,semver,sinon,sinon-chai,snappy,socks,source-map-support,ts-node,tsd,typescript,typescript-cached-transpile,v8-heapsnapshot,yargs","express"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mongodb-connection-string-url\package.json","mongodb-connection-string-url","lint,test,build,prepack,compile-ts","@types/whatwg-url,whatwg-url","@types/chai,@types/mocha,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,chai,eslint,eslint-config-semistandard,eslint-config-standard,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,gen-esm-wrapper,mocha,nyc,ts-node,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mongoose\node_modules\ms\package.json","ms","precommit,lint,test","","eslint,expect.js,husky,lint-staged,mocha,prettier",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mongoose\package.json","mongoose","docs:clean,docs:clean:stable,docs:clean:5x,docs:clean:6x,docs:copy:tmp,docs:copy:tmp:5x,docs:copy:tmp:6x,docs:generate,docs:generate:sponsorData,docs:test,docs:view,docs:prepare:publish:stable,docs:prepare:publish:5x,docs:prepare:publish:6x,docs:prepare:publish:7x,docs:check-links,lint,lint-js,lint-ts,lint-md,build-browser,prepublishOnly,release,release-5x,release-6x,mongo,publish-7x,create-separate-require-instance,test,test-deno,test-rs,test-tsd,setup-test-encryption,test-encryption,tdd,test-coverage,ts-benchmark,attest-benchmark","bson,kareem,mongodb,mpath,mquery,ms,sift","@ark/attest,@babel/core,@babel/preset-env,@mongodb-js/mongodb-downloader,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,acquit,acquit-ignore,acquit-require,ajv,assert-browserify,babel-loader,broken-link-checker,buffer,cheerio,crypto-browserify,dox,eslint,eslint-plugin-markdown,eslint-plugin-mocha-no-only,express,fs-extra,highlight.js,lodash.isequal,lodash.isequalwith,markdownlint-cli2,marked,mkdirp,mocha,moment,mongodb-memory-server,mongodb-runner,ncp,nyc,pug,q,sinon,stream-browserify,tsd,typescript,uuid,webpack","express"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mpath\package.json","mpath","lint,test","","mocha,benchmark,eslint",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mquery\node_modules\debug\package.json","debug","lint,test,test:node,test:browser,test:coverage","ms","brfs,browserify,coveralls,karma,karma-browserify,karma-chrome-launcher,karma-mocha,mocha,mocha-lcov-reporter,sinon,xo",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mquery\node_modules\ms\package.json","ms","precommit,lint,test","","eslint,expect.js,husky,lint-staged,mocha,prettier",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mquery\package.json","mquery","test,fix-lint,lint","debug","eslint,eslint-plugin-mocha-no-only,mocha,mongodb",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\ms\package.json","ms","precommit,lint,test","","eslint,expect.js,husky,lint-staged,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\negotiator\package.json","negotiator","lint,test,test-ci,test-cov","","eslint,eslint-plugin-markdown,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\nodemaster\package.json","nodemaster","test","express","","express"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\nodemon\node_modules\debug\package.json","debug","lint,test,test:node,test:browser,test:coverage","ms","brfs,browserify,coveralls,karma,karma-browserify,karma-chrome-launcher,karma-mocha,mocha,mocha-lcov-reporter,sinon,xo",""
