"Path","Name","Scripts","Dependencies"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\safe-buffer\package.json","safe-buffer","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\safer-buffer\package.json","safer-buffer","browserify-test,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\scheduler\package.json","scheduler","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\selderee\package.json","selderee","build,build:rollup,build:types,clean","parseley"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\semver\package.json","semver","eslint,lint,lintfix,postlint,posttest,snap,template-oss-apply,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\send\package.json","send","lint,test,test-ci,test-cov","debug,depd,destroy,encodeurl,escape-html,etag,fresh,http-errors,mime,ms,on-finished,range-parser,statuses"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\send\node_modules\encodeurl\package.json","encodeurl","lint,test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\send\node_modules\ms\package.json","ms","lint,precommit,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\serve-static\package.json","serve-static","lint,test,test-ci,test-cov,version","encodeurl,escape-html,parseurl,send"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\setprototypeof\package.json","setprototypeof","node010,node11,node4,node6,node9,postpublish,prepublishOnly,test,testallversions,testversion",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\side-channel\package.json","side-channel","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","es-errors,object-inspect,side-channel-list,side-channel-map,side-channel-weakmap"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\side-channel-list\package.json","side-channel-list","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","es-errors,object-inspect"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\side-channel-map\package.json","side-channel-map","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","call-bound,es-errors,get-intrinsic,object-inspect"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\side-channel-weakmap\package.json","side-channel-weakmap","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","call-bound,es-errors,get-intrinsic,object-inspect,side-channel-map"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\sift\package.json","sift","build,build:types,clean,prebuild,prepublishOnly,test,test:spec,test:types",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\simple-update-notifier\package.json","simple-update-notifier","build,eslint,lint,prepare,prettier,prettier:check,release,test","semver"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\sparse-bitfield\package.json","sparse-bitfield","test","memory-pager"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\statuses\package.json","statuses","build,fetch,lint,test,test-ci,test-cov,update,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\supports-color\package.json","supports-color","test","has-flag"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\to-regex-range\package.json","to-regex-range","test","is-number"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\toidentifier\package.json","toidentifier","lint,test,test-ci,test-cov,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\touch\package.json","touch","postpublish,postversion,preversion,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\tr46\package.json","tr46","lint,prepublish,pretest,test","punycode"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\type-is\package.json","type-is","lint,test,test-cov,test-travis","media-typer,mime-types"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\undefsafe\package.json","undefsafe","cover,semantic-release,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\unpipe\package.json","unpipe","test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\utils-merge\package.json","utils-merge","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\vary\package.json","vary","bench,lint,test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\webidl-conversions\package.json","webidl-conversions","coverage,lint,test,test-no-sab",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\whatwg-url\package.json","whatwg-url","bench,build-live-viewer,coverage,lint,prepare,pretest,test","tr46,webidl-conversions"
