sheet,cell,formula_or_literal,resolved_value
Day 1 - Match 1,V24,"=IF($S$39=V$5,S24*V$5,"""")",
Day 1 - Match 1,W24,"=IF($S$39=W$5,S24*W$5,"""")",
Day 1 - Match 1,X24,"=IF($S$39=X$5,S24*X$5,"""")",
Day 1 - Match 1,Y24,"=IF($S$39=Y$5,S24*Y$5,"""")",
Day 1 - Match 1,Z24,"=IF($S$39=Z$5,S24*Z$5,"""")",
Day 1 - Match 1,AA24,"=IF(SUM(V24:Z24)=0,0,Setup!F$45/SUM(V24:Z24))",0
Day 1 - Match 1,AD24,=A24,CSamm
Day 1 - Match 1,AE24,=B24,0
Day 1 - Match 1,AF24,=C24,0
Day 1 - Match 1,AG24,=D24,0
Day 1 - Match 1,AH24,=E24,0
Day 1 - Match 1,AI24,=F24,0
Day 1 - Match 1,AJ24,=G24,0
Day 1 - Match 1,AK24,=H24,0
Day 1 - Match 1,AL24,=I24,0
Day 1 - Match 1,AM24,=J24,0
Day 1 - Match 1,A25,=Matchups!C22,13
Day 1 - Match 1,M25,=A25,13
Day 1 - Match 1,N25,=K25,0
Day 1 - Match 1,V25,"=IF($S$39=V$5,S25*V$5,"""")",
Day 1 - Match 1,W25,"=IF($S$39=W$5,S25*W$5,"""")",
Day 1 - Match 1,X25,"=IF($S$39=X$5,S25*X$5,"""")",
Day 1 - Match 1,Y25,"=IF($S$39=Y$5,S25*Y$5,"""")",
Day 1 - Match 1,Z25,"=IF($S$39=Z$5,S25*Z$5,"""")",
Day 1 - Match 1,AA25,"=IF(SUM(V25:Z25)=0,0,Setup!F$45/SUM(V25:Z25))",0
Day 1 - Match 1,A26,=Matchups!C23,Brian
Day 1 - Match 1,K26,=SUM(B26:J26),0
Day 1 - Match 1,M26,=A26,Brian
Day 1 - Match 1,N26,=K26,0
Day 1 - Match 1,O26,=K109,0
Day 1 - Match 1,T26,='Skins - Day 1'!T26,0
Day 1 - Match 1,V26,"=IF($S$39=V$5,S26*V$5,"""")",
Day 1 - Match 1,W26,"=IF($S$39=W$5,S26*W$5,"""")",
Day 1 - Match 1,X26,"=IF($S$39=X$5,S26*X$5,"""")",
